ReturnQuantity,ModelName,ProductCost,ProductPrice,Region,Country,Continent,SubcategoryName,CategoryName,Month,Week,Day,Season,Productprice,GrossProfitLoss
1,Road Bottle Cage,3.3623,8.99,Australia,Australia,Pacific,Bottles and Cages,Accessories,July,26,Sunday,Summer,8.99,5.627700000000001
1,Mountain-200,1117.8559,2071.4196,Australia,Australia,Pacific,Mountain Bikes,Bikes,July,27,Monday,Summer,2071.4196,953.5637000000002
1,Mountain Tire Tube,1.8663,4.99,United Kingdom,United Kingdom,Europe,Tires and Tubes,Accessories,July,27,Wednesday,Summer,4.99,3.1237000000000004
1,Mountain-200,1105.81,2049.0982,United Kingdom,United Kingdom,Europe,Mountain Bikes,Bikes,July,27,Thursday,Summer,2049.0982,943.2882
1,Road-550-W,605.6492,1000.4375,Germany,Germany,Europe,Road Bikes,Bikes,July,27,Friday,Summer,1000.4375,394.78830000000005
1,Mountain Bottle Cage,3.7363,9.99,Australia,Australia,Pacific,Bottles and Cages,Accessories,July,27,Friday,Summer,9.99,6.2537
1,Patch kit,0.8565,2.29,Australia,Australia,Pacific,Tires and Tubes,Accessories,July,27,Friday,Summer,2.29,1.4335
1,Hydration Pack,20.5663,54.99,Australia,Australia,Pacific,Hydration Packs,Accessories,July,27,Friday,Summer,54.99,34.423700000000004
1,Patch kit,0.8565,2.29,United Kingdom,United Kingdom,Europe,Tires and Tubes,Accessories,July,27,Friday,Summer,2.29,1.4335
1,Sport-100,12.0278,33.6442,France,France,Europe,Helmets,Accessories,July,27,Saturday,Summer,33.6442,21.6164
1,Water Bottle,1.8663,4.99,Southwest,United States,North America,Bottles and Cages,Accessories,July,28,Monday,Summer,4.99,3.1237000000000004
1,Long-Sleeve Logo Jersey,31.7244,48.0673,Germany,Germany,Europe,Jerseys,Clothing,July,28,Monday,Summer,48.0673,16.342900000000004
1,Mountain Bottle Cage,3.7363,9.99,Southwest,United States,North America,Bottles and Cages,Accessories,July,28,Tuesday,Summer,9.99,6.2537
1,Road-550-W,605.6492,1000.4375,France,France,Europe,Road Bikes,Bikes,July,28,Tuesday,Summer,1000.4375,394.78830000000005
1,Mountain-200,1117.8559,2071.4196,Southwest,United States,North America,Mountain Bikes,Bikes,July,28,Wednesday,Summer,2071.4196,953.5637000000002
1,Road-250,1320.6838,2181.5625,Australia,Australia,Pacific,Road Bikes,Bikes,July,28,Wednesday,Summer,2181.5625,860.8787
1,Fender Set - Mountain,8.2205,21.98,Australia,Australia,Pacific,Fenders,Accessories,July,28,Wednesday,Summer,21.98,13.759500000000001
1,Road-750,343.6496,539.99,Southwest,United States,North America,Road Bikes,Bikes,July,28,Thursday,Summer,539.99,196.3404
1,HL Road Tire,12.1924,32.6,Northwest,United States,North America,Tires and Tubes,Accessories,July,28,Friday,Summer,32.6,20.407600000000002
1,Mountain Bottle Cage,3.7363,9.99,Southwest,United States,North America,Bottles and Cages,Accessories,July,28,Friday,Summer,9.99,6.2537
1,Hitch Rack - 4-Bike,44.88,120.0,France,France,Europe,Bike Racks,Accessories,July,28,Friday,Summer,120.0,75.12
1,HL Road Tire,12.1924,32.6,France,France,Europe,Tires and Tubes,Accessories,July,28,Friday,Summer,32.6,20.407600000000002
1,Bike Wash,2.9733,7.95,United Kingdom,United Kingdom,Europe,Cleaners,Accessories,July,28,Friday,Summer,7.95,4.9767
1,Cycling Cap,5.7052,8.6442,Northwest,United States,North America,Caps,Clothing,July,28,Saturday,Summer,8.6442,2.939
1,HL Mountain Tire,13.09,35.0,Southwest,United States,North America,Tires and Tubes,Accessories,July,29,Tuesday,Summer,35.0,21.91
1,Water Bottle,1.8663,4.99,Northwest,United States,North America,Bottles and Cages,Accessories,July,29,Friday,Summer,4.99,3.1237000000000004
1,Road-250,1320.6838,2181.5625,Australia,Australia,Pacific,Road Bikes,Bikes,July,29,Saturday,Summer,2181.5625,860.8787
1,Sport-100,12.0278,33.6442,United Kingdom,United Kingdom,Europe,Helmets,Accessories,July,29,Saturday,Summer,33.6442,21.6164
1,Water Bottle,1.8663,4.99,United Kingdom,United Kingdom,Europe,Bottles and Cages,Accessories,July,29,Sunday,Summer,4.99,3.1237000000000004
1,HL Mountain Tire,13.09,35.0,Australia,Australia,Pacific,Tires and Tubes,Accessories,July,30,Monday,Summer,35.0,21.91
1,Hydration Pack,20.5663,54.99,Australia,Australia,Pacific,Hydration Packs,Accessories,July,30,Tuesday,Summer,54.99,34.423700000000004
1,Mountain Tire Tube,1.8663,4.99,Australia,Australia,Pacific,Tires and Tubes,Accessories,July,30,Tuesday,Summer,4.99,3.1237000000000004
1,Road-250,1320.6838,2181.5625,France,France,Europe,Road Bikes,Bikes,July,30,Thursday,Summer,2181.5625,860.8787
1,Fender Set - Mountain,8.2205,21.98,Germany,Germany,Europe,Fenders,Accessories,July,30,Thursday,Summer,21.98,13.759500000000001
1,Half-Finger Gloves,9.7136,23.5481,Germany,Germany,Europe,Gloves,Clothing,July,30,Friday,Summer,23.5481,13.834500000000002
1,Patch kit,0.8565,2.29,Australia,Australia,Pacific,Tires and Tubes,Accessories,July,30,Friday,Summer,2.29,1.4335
1,Hydration Pack,20.5663,54.99,Australia,Australia,Pacific,Hydration Packs,Accessories,July,30,Friday,Summer,54.99,34.423700000000004
1,Patch kit,0.8565,2.29,United Kingdom,United Kingdom,Europe,Tires and Tubes,Accessories,July,30,Friday,Summer,2.29,1.4335
1,Road-750,343.6496,539.99,Germany,Germany,Europe,Road Bikes,Bikes,July,30,Saturday,Summer,539.99,196.3404
1,HL Road Tire,12.1924,32.6,Southwest,United States,North America,Tires and Tubes,Accessories,July,30,Sunday,Summer,32.6,20.407600000000002
1,Sport-100,12.0278,33.6442,France,France,Europe,Helmets,Accessories,July,30,Sunday,Summer,33.6442,21.6164
1,Short-Sleeve Classic Jersey,41.5723,53.99,Australia,Australia,Pacific,Jerseys,Clothing,July,30,Sunday,Summer,53.99,12.417700000000004
1,Hydration Pack,20.5663,54.99,Southwest,United States,North America,Hydration Packs,Accessories,August,31,Monday,Summer,54.99,34.423700000000004
1,All-Purpose Bike Stand,59.466,159.0,Australia,Australia,Pacific,Bike Stands,Accessories,August,31,Monday,Summer,159.0,99.53399999999999
1,Water Bottle,1.8663,4.99,Southwest,United States,North America,Bottles and Cages,Accessories,August,31,Tuesday,Summer,4.99,3.1237000000000004
1,Water Bottle,1.8663,4.99,Canada,Canada,North America,Bottles and Cages,Accessories,August,31,Tuesday,Summer,4.99,3.1237000000000004
1,ML Road Tire,9.3463,24.99,Australia,Australia,Pacific,Tires and Tubes,Accessories,August,31,Tuesday,Summer,24.99,15.643699999999999
1,Long-Sleeve Logo Jersey,31.7244,48.0673,Canada,Canada,North America,Jerseys,Clothing,August,31,Wednesday,Summer,48.0673,16.342900000000004
1,HL Mountain Tire,13.09,35.0,Canada,Canada,North America,Tires and Tubes,Accessories,August,31,Wednesday,Summer,35.0,21.91
1,HL Road Tire,12.1924,32.6,Canada,Canada,North America,Tires and Tubes,Accessories,August,31,Wednesday,Summer,32.6,20.407600000000002
1,Mountain Bottle Cage,3.7363,9.99,Northwest,United States,North America,Bottles and Cages,Accessories,August,31,Thursday,Summer,9.99,6.2537
1,Bike Wash,2.9733,7.95,Southwest,United States,North America,Cleaners,Accessories,August,31,Friday,Summer,7.95,4.9767
1,Mountain Tire Tube,1.8663,4.99,Southwest,United States,North America,Tires and Tubes,Accessories,August,31,Friday,Summer,4.99,3.1237000000000004
1,Sport-100,12.0278,33.6442,Canada,Canada,North America,Helmets,Accessories,August,31,Friday,Summer,33.6442,21.6164
1,Road Tire Tube,1.4923,3.99,Germany,Germany,Europe,Tires and Tubes,Accessories,August,31,Saturday,Summer,3.99,2.4977
1,Patch kit,0.8565,2.29,Canada,Canada,North America,Tires and Tubes,Accessories,August,31,Sunday,Summer,2.29,1.4335
1,Road-250,1320.6838,2181.5625,Australia,Australia,Pacific,Road Bikes,Bikes,August,31,Sunday,Summer,2181.5625,860.8787
1,Patch kit,0.8565,2.29,Australia,Australia,Pacific,Tires and Tubes,Accessories,August,31,Sunday,Summer,2.29,1.4335
1,Road Bottle Cage,3.3623,8.99,United Kingdom,United Kingdom,Europe,Bottles and Cages,Accessories,August,31,Sunday,Summer,8.99,5.627700000000001
1,HL Mountain Tire,13.09,35.0,United Kingdom,United Kingdom,Europe,Tires and Tubes,Accessories,August,31,Sunday,Summer,35.0,21.91
1,ML Mountain Tire,11.2163,29.99,Northwest,United States,North America,Tires and Tubes,Accessories,August,32,Monday,Summer,29.99,18.773699999999998
1,Road-250,1320.6838,2181.5625,United Kingdom,United Kingdom,Europe,Road Bikes,Bikes,August,32,Monday,Summer,2181.5625,860.8787
1,Road-250,1320.6838,2181.5625,Australia,Australia,Pacific,Road Bikes,Bikes,August,32,Tuesday,Summer,2181.5625,860.8787
1,LL Mountain Tire,9.3463,24.99,Australia,Australia,Pacific,Tires and Tubes,Accessories,August,32,Tuesday,Summer,24.99,15.643699999999999
1,HL Road Tire,12.1924,32.6,Australia,Australia,Pacific,Tires and Tubes,Accessories,August,32,Tuesday,Summer,32.6,20.407600000000002
1,Water Bottle,1.8663,4.99,France,France,Europe,Bottles and Cages,Accessories,August,32,Wednesday,Summer,4.99,3.1237000000000004
1,Sport-100,12.0278,33.6442,Australia,Australia,Pacific,Helmets,Accessories,August,32,Wednesday,Summer,33.6442,21.6164
1,Road-550-W,605.6492,1000.4375,Southwest,United States,North America,Road Bikes,Bikes,August,32,Thursday,Summer,1000.4375,394.78830000000005
1,Water Bottle,1.8663,4.99,Canada,Canada,North America,Bottles and Cages,Accessories,August,32,Thursday,Summer,4.99,3.1237000000000004
1,Mountain Tire Tube,1.8663,4.99,Australia,Australia,Pacific,Tires and Tubes,Accessories,August,32,Thursday,Summer,4.99,3.1237000000000004
1,Mountain Tire Tube,1.8663,4.99,Northwest,United States,North America,Tires and Tubes,Accessories,August,32,Friday,Summer,4.99,3.1237000000000004
1,Road Tire Tube,1.4923,3.99,Southwest,United States,North America,Tires and Tubes,Accessories,August,32,Friday,Summer,3.99,2.4977
1,LL Mountain Tire,9.3463,24.99,Southwest,United States,North America,Tires and Tubes,Accessories,August,32,Friday,Summer,24.99,15.643699999999999
1,Patch kit,0.8565,2.29,Canada,Canada,North America,Tires and Tubes,Accessories,August,32,Friday,Summer,2.29,1.4335
1,Water Bottle,1.8663,4.99,Germany,Germany,Europe,Bottles and Cages,Accessories,August,32,Friday,Summer,4.99,3.1237000000000004
1,Half-Finger Gloves,9.7136,23.5481,United Kingdom,United Kingdom,Europe,Gloves,Clothing,August,32,Friday,Summer,23.5481,13.834500000000002
1,Touring-3000,461.4448,742.35,United Kingdom,United Kingdom,Europe,Touring Bikes,Bikes,August,32,Friday,Summer,742.35,280.90520000000004
1,Road-550-W,605.6492,1000.4375,Northwest,United States,North America,Road Bikes,Bikes,August,32,Saturday,Summer,1000.4375,394.78830000000005
1,Mountain Bottle Cage,3.7363,9.99,Southwest,United States,North America,Bottles and Cages,Accessories,August,32,Saturday,Summer,9.99,6.2537
1,Hydration Pack,20.5663,54.99,Southwest,United States,North America,Hydration Packs,Accessories,August,32,Saturday,Summer,54.99,34.423700000000004
1,Road Tire Tube,1.4923,3.99,Canada,Canada,North America,Tires and Tubes,Accessories,August,32,Saturday,Summer,3.99,2.4977
1,Mountain-400-W,419.7784,769.49,United Kingdom,United Kingdom,Europe,Mountain Bikes,Bikes,August,32,Saturday,Summer,769.49,349.71160000000003
1,Long-Sleeve Logo Jersey,31.7244,48.0673,Canada,Canada,North America,Jerseys,Clothing,August,32,Sunday,Summer,48.0673,16.342900000000004
1,LL Road Tire,8.0373,21.49,France,France,Europe,Tires and Tubes,Accessories,August,32,Sunday,Summer,21.49,13.452699999999998
1,Sport-100,13.0863,34.99,Germany,Germany,Europe,Helmets,Accessories,August,32,Sunday,Summer,34.99,21.9037
1,Long-Sleeve Logo Jersey,31.7244,48.0673,Germany,Germany,Europe,Jerseys,Clothing,August,32,Sunday,Summer,48.0673,16.342900000000004
1,Touring Tire Tube,1.8663,4.99,Germany,Germany,Europe,Tires and Tubes,Accessories,August,32,Sunday,Summer,4.99,3.1237000000000004
1,Sport-100,12.0278,33.6442,United Kingdom,United Kingdom,Europe,Helmets,Accessories,August,32,Sunday,Summer,33.6442,21.6164
1,Mountain Tire Tube,1.8663,4.99,Northwest,United States,North America,Tires and Tubes,Accessories,August,33,Monday,Summer,4.99,3.1237000000000004
1,Road Tire Tube,1.4923,3.99,Northwest,United States,North America,Tires and Tubes,Accessories,August,33,Monday,Summer,3.99,2.4977
1,ML Mountain Tire,11.2163,29.99,Northwest,United States,North America,Tires and Tubes,Accessories,August,33,Monday,Summer,29.99,18.773699999999998
1,Long-Sleeve Logo Jersey,31.7244,48.0673,Canada,Canada,North America,Jerseys,Clothing,August,33,Monday,Summer,48.0673,16.342900000000004
1,Mountain Bottle Cage,3.7363,9.99,Canada,Canada,North America,Bottles and Cages,Accessories,August,33,Monday,Summer,9.99,6.2537
1,LL Road Tire,8.0373,21.49,Germany,Germany,Europe,Tires and Tubes,Accessories,August,33,Monday,Summer,21.49,13.452699999999998
1,Long-Sleeve Logo Jersey,31.7244,48.0673,United Kingdom,United Kingdom,Europe,Jerseys,Clothing,August,33,Monday,Summer,48.0673,16.342900000000004
1,Mountain-200,1117.8559,2071.4196,Southwest,United States,North America,Mountain Bikes,Bikes,August,33,Tuesday,Summer,2071.4196,953.5637000000002
1,Fender Set - Mountain,8.2205,21.98,Southwest,United States,North America,Fenders,Accessories,August,33,Tuesday,Summer,21.98,13.759500000000001
1,Mountain Bottle Cage,3.7363,9.99,Canada,Canada,North America,Bottles and Cages,Accessories,August,33,Tuesday,Summer,9.99,6.2537
1,Sport-100,12.0278,33.6442,Southwest,United States,North America,Helmets,Accessories,August,33,Wednesday,Summer,33.6442,21.6164
1,ML Road Tire,9.3463,24.99,France,France,Europe,Tires and Tubes,Accessories,August,33,Wednesday,Summer,24.99,15.643699999999999
1,Road Tire Tube,1.4923,3.99,Australia,Australia,Pacific,Tires and Tubes,Accessories,August,33,Wednesday,Summer,3.99,2.4977
1,Mountain-200,1105.81,2049.0982,Northwest,United States,North America,Mountain Bikes,Bikes,August,33,Thursday,Summer,2049.0982,943.2882
1,Water Bottle,1.8663,4.99,France,France,Europe,Bottles and Cages,Accessories,August,33,Thursday,Summer,4.99,3.1237000000000004
1,Mountain Bottle Cage,3.7363,9.99,France,France,Europe,Bottles and Cages,Accessories,August,33,Thursday,Summer,9.99,6.2537
2,Water Bottle,3.7326,4.99,Southwest,United States,North America,Bottles and Cages,Accessories,August,33,Friday,Summer,9.98,6.247400000000001
1,HL Road Tire,12.1924,32.6,France,France,Europe,Tires and Tubes,Accessories,August,33,Friday,Summer,32.6,20.407600000000002
1,Cycling Cap,5.7052,8.6442,Germany,Germany,Europe,Caps,Clothing,August,33,Friday,Summer,8.6442,2.939
1,Road Tire Tube,1.4923,3.99,Southwest,United States,North America,Tires and Tubes,Accessories,August,33,Saturday,Summer,3.99,2.4977
1,Sport-100,12.0278,33.6442,Germany,Germany,Europe,Helmets,Accessories,August,33,Saturday,Summer,33.6442,21.6164
1,Long-Sleeve Logo Jersey,31.7244,48.0673,Australia,Australia,Pacific,Jerseys,Clothing,August,33,Saturday,Summer,48.0673,16.342900000000004
1,Road Tire Tube,1.4923,3.99,Australia,Australia,Pacific,Tires and Tubes,Accessories,August,33,Saturday,Summer,3.99,2.4977
1,Touring Tire Tube,1.8663,4.99,Australia,Australia,Pacific,Tires and Tubes,Accessories,August,33,Saturday,Summer,4.99,3.1237000000000004
1,Sport-100,13.0863,34.99,Northwest,United States,North America,Helmets,Accessories,August,33,Sunday,Summer,34.99,21.9037
1,Sport-100,13.0863,34.99,Germany,Germany,Europe,Helmets,Accessories,August,33,Sunday,Summer,34.99,21.9037
1,Sport-100,12.0278,33.6442,Southwest,United States,North America,Helmets,Accessories,August,34,Monday,Summer,33.6442,21.6164
1,Water Bottle,1.8663,4.99,Southwest,United States,North America,Bottles and Cages,Accessories,August,34,Tuesday,Summer,4.99,3.1237000000000004
1,Mountain-200,1105.81,2049.0982,United Kingdom,United Kingdom,Europe,Mountain Bikes,Bikes,August,34,Tuesday,Summer,2049.0982,943.2882
1,All-Purpose Bike Stand,59.466,159.0,Northwest,United States,North America,Bike Stands,Accessories,August,34,Wednesday,Summer,159.0,99.53399999999999
1,LL Mountain Tire,9.3463,24.99,Northwest,United States,North America,Tires and Tubes,Accessories,August,34,Wednesday,Summer,24.99,15.643699999999999
1,Mountain Bottle Cage,3.7363,9.99,Southwest,United States,North America,Bottles and Cages,Accessories,August,34,Wednesday,Summer,9.99,6.2537
1,Patch kit,0.8565,2.29,Southwest,United States,North America,Tires and Tubes,Accessories,August,34,Wednesday,Summer,2.29,1.4335
1,All-Purpose Bike Stand,59.466,159.0,Southwest,United States,North America,Bike Stands,Accessories,August,34,Wednesday,Summer,159.0,99.53399999999999
1,Mountain Tire Tube,1.8663,4.99,Southwest,United States,North America,Tires and Tubes,Accessories,August,34,Wednesday,Summer,4.99,3.1237000000000004
1,Mountain Bottle Cage,3.7363,9.99,Canada,Canada,North America,Bottles and Cages,Accessories,August,34,Wednesday,Summer,9.99,6.2537
1,Sport-100,13.0863,34.99,Australia,Australia,Pacific,Helmets,Accessories,August,34,Wednesday,Summer,34.99,21.9037
1,Patch kit,0.8565,2.29,Australia,Australia,Pacific,Tires and Tubes,Accessories,August,34,Wednesday,Summer,2.29,1.4335
1,Patch kit,0.8565,2.29,United Kingdom,United Kingdom,Europe,Tires and Tubes,Accessories,August,34,Wednesday,Summer,2.29,1.4335
1,Sport-100,12.0278,33.6442,Southwest,United States,North America,Helmets,Accessories,August,34,Thursday,Summer,33.6442,21.6164
1,Long-Sleeve Logo Jersey,31.7244,48.0673,Southwest,United States,North America,Jerseys,Clothing,August,34,Thursday,Summer,48.0673,16.342900000000004
1,Touring-3000,461.4448,742.35,Southwest,United States,North America,Touring Bikes,Bikes,August,34,Thursday,Summer,742.35,280.90520000000004
1,Hydration Pack,20.5663,54.99,France,France,Europe,Hydration Packs,Accessories,August,34,Thursday,Summer,54.99,34.423700000000004
1,Road Tire Tube,1.4923,3.99,France,France,Europe,Tires and Tubes,Accessories,August,34,Thursday,Summer,3.99,2.4977
1,HL Road Tire,12.1924,32.6,Australia,Australia,Pacific,Tires and Tubes,Accessories,August,34,Thursday,Summer,32.6,20.407600000000002
1,Women's Mountain Shorts,26.1763,69.99,Northwest,United States,North America,Shorts,Clothing,August,34,Friday,Summer,69.99,43.8137
1,Mountain-200,1105.81,2049.0982,France,France,Europe,Mountain Bikes,Bikes,August,34,Friday,Summer,2049.0982,943.2882
1,Long-Sleeve Logo Jersey,31.7244,48.0673,Australia,Australia,Pacific,Jerseys,Clothing,August,34,Friday,Summer,48.0673,16.342900000000004
1,Half-Finger Gloves,9.7136,23.5481,Australia,Australia,Pacific,Gloves,Clothing,August,34,Friday,Summer,23.5481,13.834500000000002
1,Water Bottle,1.8663,4.99,Canada,Canada,North America,Bottles and Cages,Accessories,August,34,Saturday,Summer,4.99,3.1237000000000004
1,Water Bottle,1.8663,4.99,Germany,Germany,Europe,Bottles and Cages,Accessories,August,34,Saturday,Summer,4.99,3.1237000000000004
1,HL Road Tire,12.1924,32.6,Northwest,United States,North America,Tires and Tubes,Accessories,August,34,Sunday,Summer,32.6,20.407600000000002
1,Touring-1000,1481.9379,2384.07,Southwest,United States,North America,Touring Bikes,Bikes,August,34,Sunday,Summer,2384.07,902.1321000000003
1,Cycling Cap,5.7052,8.6442,Canada,Canada,North America,Caps,Clothing,August,34,Sunday,Summer,8.6442,2.939
1,Water Bottle,1.8663,4.99,Canada,Canada,North America,Bottles and Cages,Accessories,August,34,Sunday,Summer,4.99,3.1237000000000004
1,Water Bottle,1.8663,4.99,Southwest,United States,North America,Bottles and Cages,Accessories,August,35,Monday,Summer,4.99,3.1237000000000004
1,Short-Sleeve Classic Jersey,41.5723,53.99,Southwest,United States,North America,Jerseys,Clothing,August,35,Monday,Summer,53.99,12.417700000000004
1,Water Bottle,1.8663,4.99,France,France,Europe,Bottles and Cages,Accessories,August,35,Monday,Summer,4.99,3.1237000000000004
1,Road Tire Tube,1.4923,3.99,France,France,Europe,Tires and Tubes,Accessories,August,35,Monday,Summer,3.99,2.4977
1,Water Bottle,1.8663,4.99,Northwest,United States,North America,Bottles and Cages,Accessories,August,35,Tuesday,Summer,4.99,3.1237000000000004
2,Patch kit,1.713,2.29,Northwest,United States,North America,Tires and Tubes,Accessories,August,35,Tuesday,Summer,4.58,2.867
1,Half-Finger Gloves,9.7136,23.5481,Southwest,United States,North America,Gloves,Clothing,August,35,Tuesday,Summer,23.5481,13.834500000000002
1,Racing Socks,3.3623,8.99,Canada,Canada,North America,Socks,Clothing,August,35,Tuesday,Summer,8.99,5.627700000000001
